,,,,,,,,
,,,,,,,,
,,,,,,,,
,Function,Categories,Skill,Website Content,Card Definitions,Demo Video Link/ Screenshot Link,Screenshots Recommendation Content,"Attachements (One Pager, Whitepaper, Blog, Case study)"
,,,Territory Planning,"Continuously sense market shifts, account potential, and rep capacity to recalibrate territories.

Understands
Evaluates market potential, account distribution, and rep workload across sales territories.
Recommends
Suggests territory realignments, account reassignments, and coverage adjustments based on scenario-driven territory outcomes.
Acts
Automatically flags territory imbalances and triggers redesign workflows.
Learns
Continuously improves territory effectiveness by learning from outcomes to improve revenue per territory and rep utilization, reduce coverage overlap, and increase account penetration and win rates.","Continuously sense market shifts, account potential, and rep capacity to recalibrate territories.",Screenshot 31,NA,None available
,,,Quota Planning,"Identify demand, coverage, and rep effectiveness changes to adapt quotas proactively and align growth goals.

Understands
Monitors market demand, territory potential, historical performance, and rep capacity to assess quota feasibility.
Recommends
Provides balanced quota allocations with achievability assessments and adjustment suggestions aligned to business goals.
Acts
Automatically recalibrates quotas, flags unrealistic targets, and triggers planning review cycles.
Learns
Continuously improves quota setting by learning from outcomes to improve quota attainment rates and accuracy, and enhance forecast reliability and revenue predictability.","Identify demand, coverage, and rep effectiveness changes to adapt quotas proactively and align growth goals.",No screen available - Screenshot to be created with the recomendation on the right,"Reduce Q1 quotas by 15% across 28 reps in Northeast region due to retailer consolidation impacting 230 accounts worth $12M.
Aera's quota analysis detects three major retail bankruptcies eliminating 230 distribution points in Northeast territory, reducing addressable market by $12M. Current quota allocation shows 28 reps now carrying 142% of achievable target based on remaining account potential. Recalibrating quotas from $8.2M to $7.0M for affected reps maintains 95% achievability while protecting forecast accuracy and reducing attrition risk by an estimated 18%.",None available
,Finance,IBP,Integrated Business Planning,"Align strategic, financial, and operational plans to drive consensus, improve forecasts, and enhance performance.

Understands
Evaluates strategic goals, financial targets, demand forecasts, supply capacity, and inventory positions.
Recommends
Provides integrated plan scenarios with trade-off analysis across revenue, cost, cash, and service-level objectives.
Acts
Automatically consolidates cross-functional plans, highlights misalignments, and generates executive decision packages.
Learns
Continuously improves planning integration by learning from outcomes to enhance plan accuracy, reduce strategic–operational gaps, and improve cross-functional alignment and decision quality.","Align strategic, financial, and operational plans to drive consensus, improve forecasts, and enhance performance.",Screenshot 28,NA,Blog: IBP
,,,Financial Supply Planning,"Synchronize supply chain decisions with financial targets to optimize working capital and operational costs.

Understands
Analyzes supply chain spend, working-capital requirements, cash-flow impacts, and operational constraints across the network.
Recommends
Provides cost-optimized supply plans with trade-offs between inventory investment, service levels, and operational efficiency.
Acts
Automatically adjusts procurement timing, production schedules, and inventory positions to meet financial objectives.
Learns
Continuously improves financial–operational alignment by learning from outcomes to optimize working capital and cash-conversion cycles, reduce inefficiencies, and improve profitability.",Synchronize supply chain decisions with financial targets to optimize working capital and operational costs.,Screenshot 27,NA,None available
,,,Cash & Liquidity Forecasting,"Continuously sense cash movements and operational signals to generate adaptive liquidity forecasts and protect cash.

Understands
Monitors cash flows, receivables, payables, working-capital trends, and operational events impacting liquidity.
Recommends
Provides dynamic cash forecasts with risk alerts and suggested actions to optimize liquidity positions.
Acts
Automatically updates cash projections, triggers collection or payment actions, and alerts teams to liquidity shortfalls.
Learns
Continuously improves cash forecasting by learning from outcomes to improve liquidity-forecast accuracy, reduce cash-flow volatility, and enhance payment timing and collection effectiveness.",Continuously sense cash movements and operational signals to generate adaptive liquidity forecasts and protect cash.,No screen available - Screenshot to be created with the recomendation on the right,"Accelerate collections on $4.3M receivables from 18 key accounts and delay $2.1M in non-critical supplier payments to avoid projected cash shortfall by 2026-01-15.
Aera's liquidity forecast detects a $3.8M cash gap in week 3 due to delayed payments from major retailers and peak raw material procurement cycle. Based on aging analysis showing $4.3M in receivables 5-10 days overdue across 18 accounts and $2.1M in flexible payment terms with 45 suppliers, executing targeted collections and extending non-critical payables maintains minimum cash balance of $8.5M. This is expected to avoid $125K in emergency financing costs while maintaining supplier relationships.",None available
,,P&L,Profit and Loss Planning and Forecasting,"Generate adaptive P&L forecasts that connect operational reality with financial outcomes in real time.

Understands
Integrates sales performance, demand patterns, cost structures, and market dynamics to build a comprehensive financial baseline.
Recommends
Provides rolling P&L forecasts with profitability insights by customer, category, and SKU, highlighting margin risks and revenue opportunities.
Acts
Automatically recalibrates financial projections, triggers variance investigations, and alerts stakeholders to material P&L deviations.
Learns
Continuously improves forecasting accuracy by learning from outcomes to improve revenue and margin predictability, accelerate planning cycles, and enable proactive profitability management.",Generate adaptive P&L forecasts that connect operational reality with financial outcomes in real time.,Screenshot 29,NA,None available
,,,Tariff Risk Mitigation (In place of tariff mitigation),"Monitor trade policies and tariffs to identify risks and recommend sourcing or routing adjustments.

Understands
Tracks trade policies, tariff regulations, sourcing patterns, and shipping routes to assess exposure and compliance risks.
Recommends
Suggests sourcing alternatives, routing changes, and cost-mitigation strategies to protect margins and supply continuity.
Acts
Automatically runs scenario analyses, triggers sourcing reviews, and initiates procurement or logistics adjustments.
Learns
Continuously improves risk mitigation by learning from outcomes to reduce tariff-related margin erosion and improve supply chain resilience to trade disruptions, all while maintaining compliance.",Monitor trade policies and tariffs to identify risks and recommend sourcing or routing adjustments.,Current Website Video,NA,"Blog: Tariffs

Webinar: Tariffs"
,,FP&A,Budget Planning,"Continuously sense performance, demand shifts, and cost drivers to recalibrate budgets and guide decisions.

Understands
Monitors actual spend, revenue performance, demand changes, and cost variances across departments and cost centers.
Recommends
Identifies budget gaps, reallocation opportunities, and optimal spending adjustments supported by scenario-based budget outlooks.
Acts
Automatically recalibrates budgets, triggers approval workflows, and alerts stakeholders to material variances.
Learns
Continuously improves budget accuracy by learning from outcomes to enhance forecast precision, reduce budget cycles and planning iterations, and improve resource allocation.","Continuously sense performance, demand shifts, and cost drivers to recalibrate budgets and guide decisions.",No screen available - Screenshot to be created with the recomendation on the right,"Reallocate $1.8M from Q1 marketing budget to expedited freight and co-packer capacity to cover 340K case demand spike across Snacks portfolio.
Aera's budget analysis detects 28% above-forecast demand across 67 Snacks SKUs driven by competitor stockouts, while marketing spend is tracking 15% below plan due to delayed campaign launches. Based on current production constraints and 12-day lead times, reallocating $1.8M to secure co-packer capacity and premium logistics can capture $6.4M incremental revenue opportunity. This maintains overall P&L targets while improving contribution margin by 4.2% through higher-margin volume mix.",None available
,,,Long Range Planning,"Analyze macro trends, portfolio performance, and resource dynamics to generate evolving long-range scenarios.

Understands
Evaluates market trends, strategic initiatives, portfolio performance, and resource capabilities across multi-year horizons.
Recommends
Provides scenario-based long-range plans with strategic options and investment priorities aligned to business objectives.
Acts
Automatically updates strategic scenarios, triggers portfolio reviews, and initiates resource planning cycles.
Learns
Continuously improves strategic planning by learning from outcomes to improve long-term forecast accuracy, reduce strategic blind spots, and enhance investment decisions.","Analyze macro trends, portfolio performance, and resource dynamics to generate evolving long-range scenarios.",Screenshot 31,NA,None available
,,,Zero Based Budgeting,"Analyze cost patterns, activity requirements, and value contribution to recalibrate budgets from the ground up.

Understands
Analyzes cost structures, activity drivers, value-creation metrics, and resource utilization across all budget categories.
Recommends
Identifies cost-optimization opportunities and value-driven spending allocations, incorporating scenario-based budget baselines.
Acts
Automatically builds zero-based budget models, flags low-value spend, and triggers justification workflows.
Learns
Continuously improves cost optimization by learning from outcomes to maximize savings, reduce wasteful spending and low-value activities, and improve cost transparency.","Analyze cost patterns, activity requirements, and value contribution to recalibrate budgets from the ground up.
",No screen available - Screenshot to be created with the recomendation on the right,"Eliminate $3.2M in non-essential spending across 14 cost centers including $890K in redundant trade show presence and $740K in overlapping analytics subscriptions.Aera's zero-based analysis identifies $3.2M in low-ROI activities across Sales and Marketing with value scores below 2.5x threshold. Based on activity-to-outcome mapping across 847 cost items, consolidating 8 regional trade shows into 3 national events and eliminating 12 redundant data subscriptions maintains 94% of current business impact. This reallocation funds critical SKU innovation and co-packer capacity expansion while improving cost efficiency by 11%.",None available
,,Strategic Finance,Product & Customer Profitability,"Continuously sense cost, configuration, labor, and FX signals to protect margins and optimize profitability.

Understands
Continuously monitors cost structures, pricing, configurations, labor trends, customer behavior, and FX impacts affecting margins.
Recommends
Surfaces margin risks and opportunities with scenario-driven profitability outcomes and recommended pricing, mix, or cost actions.
Acts
Automatically updates profitability models, triggers pricing or configuration adjustments, and alerts teams to margin thresholds at risk.
Learns
Learns from outcomes to improve margin forecasts, refine recommendations, and reduce unprofitable transactions over time.","Continuously sense cost, configuration, labor, and FX signals to protect margins and optimize profitability.",No screen available - Screenshot to be created with the recomendation on the right,"Increase pricing 4-7% across 128 SKUs in Premium Beverages portfolio and discontinue 34 low-margin SKUs to protect Q1 margins from 18% cocoa cost inflation.
Aera's profitability analysis shows cocoa and packaging costs up 18% and 12% respectively, eroding margins by 3.2 points across 128 Premium SKUs. Based on price elasticity modeling and customer profitability data, selective price increases on high-loyalty items and discontinuing 34 SKUs with negative contribution can recover $2.4M in margin. This is expected to maintain 89% volume retention while improving portfolio margin from 14.2% to 16.8%.",None available
,HR,Workforce Planning,Headcount/Capacity Planning,"Analyze workload patterns and growth signals to generate adaptive capacity plans and balance workforce spend.

Understands
Monitors workload demands, productivity metrics, and growth projections across departments and functions.
Recommends
Identifies capacity gaps, overstaffing risks, and optimal hiring or restructuring actions.
Acts
Automatically triggers hiring requests, reallocation workflows, and budget adjustments guided by scenario-based workforce needs.
Learns
Continuously improves workforce planning by learning from outcomes to optimize productivity, reduce capacity shortfalls and excess headcount costs, and enhance workforce agility.",Analyze workload patterns and growth signals to generate adaptive capacity plans and balance workforce spend.,Screenshot 31,NA,None available
,ESG,ESG,Carbon-Footprint optimization,"Monitor supply chain activities in real time to flag deviations from carbon targets and trigger corrective actions.

Understands
Tracks emissions across transportation routes, manufacturing processes, and distribution networks against sustainability targets.
Recommends
Identifies high-emission activities, alternative sourcing options, and route or mode changes to reduce carbon footprint.
Acts
Automatically flags carbon-target violations, triggers sustainability reviews, and initiates low-carbon alternative workflows.
Learns
Continuously improves carbon optimization by learning from outcomes to reduce overall carbon emissions, improve compliance with sustainability commitments, and trigger decarbonization strategies.",Monitor supply chain activities in real time to flag deviations from carbon targets and trigger corrective actions.,Screenshot 30,NA,None available
,,,Circular Economy Scenario Planning,"Analyze product design and reverse flows to recommend circular logistics models that improve sustainability.

Understands
Evaluates product lifecycles, reverse logistics flows, refurbishment potential, and circularity opportunities across the value chain.
Recommends
Provides circular economy scenarios with trade-off analysis between cost, service levels, and environmental impact.
Acts
Automatically generates circularity models, design reviews, and optimization workflows enhanced with multi-scenario circular outcomes.
Learns
Continuously improves circular strategies by learning from outcomes to maximize material recovery and product reuse rates, and reduce waste and environmental footprint sustainably.",Analyze product design and reverse flows to recommend circular logistics models that improve sustainability.,Screenshot 30,NA,Blog: ESG
,,,"Add these 3 skills from Inventory in ESG as well: Ageing Inventory Management (Excess and Obsolescence Management)
Supply Chain Loss Prevention
Supply Chain Loss Mitigation",NA,,NA,NA,
